"APPLIC";"NM_PAGINA_WEB";"NM_AZIONE_PAGINA";"DS_AZIONE_PAGINA"
"SACER";"/aggiornamentiMetadatiUDDetail";"button/UnitaDocumentarieForm#AggiornamentiMetadatiUDDetail/scarica_xml_upd";"Download SIP aggiornamento"
"SACER";"/amministrazione/campoRegolaDetail";"toolbar/delete";"Elimina campo"
"SACER";"/amministrazione/campoRegolaDetail";"toolbar/edit";"Modifica campo"
"SACER";"/amministrazione/campoRegolaDetail";"toolbar/insert";"Salva campo"
"SACER";"/amministrazione/campoRegolaDetail";"toolbar/update";"Salva modifica campo"
"SACER";"/amministrazione/dettaglioSisMigr";"toolbar/delete";"Elimina sistema di migrazione"
"SACER";"/amministrazione/dettaglioSisMigr";"toolbar/edit";"Modifica sistema di migrazione"
"SACER";"/amministrazione/dettaglioSisMigr";"toolbar/insert";"Salva sistema di migrazione"
"SACER";"/amministrazione/dettaglioSisMigr";"toolbar/update";"Salva modifica sistema di migrazione"
"SACER";"/amministrazione/estensioneFileDetail";"toolbar/edit";"Modifica estensione file"
"SACER";"/amministrazione/estensioneFileDetail";"toolbar/insert";"Salva estensione file"
"SACER";"/amministrazione/formatoFileBustaDetail";"toolbar/edit";"Modifica formato file busta"
"SACER";"/amministrazione/formatoFileBustaDetail";"toolbar/insert";"Salva formato file busta"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#EstensioneFileList/delete";"Elimina estensione file"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#EstensioneFileList/edit";"Modifica estensione file"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#EstensioneFileList/insert";"Inserisci estensione file"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#EstensioneFileList/view";"Dettaglio estensione file"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#FormatoFileBustaList/delete";"Elimina formato file busta"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#FormatoFileBustaList/edit";"Modifica formato file busta"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#FormatoFileBustaList/insert";"Inserisci formato file busta"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#FormatoFileBustaList/view";"Dettaglio formato file busta"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#FormatoFileParametriValutazioneList/edit";"Modifica valutazione file"
"SACER";"/amministrazione/formatoFileStandardDetail";"detail/FormatiForm#FormatoFileParametriValutazioneList/view";"Dettaglio valutazione file"
"SACER";"/amministrazione/formatoFileStandardDetail";"toolbar/edit";"Modifica formato file standard"
"SACER";"/amministrazione/formatoFileStandardDetail";"toolbar/insert";"Salva formato file standard"
"SACER";"/amministrazione/formatoFileStandardRicerca";"button/FormatiForm#VisFormatoFileStandard/extractCsvButton";"Estrai csv formati"
"SACER";"/amministrazione/formatoFileStandardRicerca";"button/FormatiForm#VisFormatoFileStandard/visFormatoButton";"Ricerca formato file standard"
"SACER";"/amministrazione/formatoFileStandardRicerca";"detail/FormatiForm#FormatoFileStandardList/delete";"Elimina formato file standard"
"SACER";"/amministrazione/formatoFileStandardRicerca";"detail/FormatiForm#FormatoFileStandardList/edit";"Modifica formato file standard"
"SACER";"/amministrazione/formatoFileStandardRicerca";"detail/FormatiForm#FormatoFileStandardList/insert";"Inserisci formato file standard"
"SACER";"/amministrazione/formatoFileStandardRicerca";"detail/FormatiForm#FormatoFileStandardList/view";"Dettaglio formato file standard"
"SACER";"/amministrazione/regolaDetail";"detail/StrutTipiForm#CampiSubStrutList/delete";"Elimina campo"
"SACER";"/amministrazione/regolaDetail";"detail/StrutTipiForm#CampiSubStrutList/edit";"Modifica campo"
"SACER";"/amministrazione/regolaDetail";"detail/StrutTipiForm#CampiSubStrutList/insert";"Inserisci campo"
"SACER";"/amministrazione/regolaDetail";"detail/StrutTipiForm#CampiSubStrutList/view";"Dettaglio campo"
"SACER";"/amministrazione/regolaDetail";"toolbar/delete";"Elimina regola"
"SACER";"/amministrazione/regolaDetail";"toolbar/edit";"Modifica regola"
"SACER";"/amministrazione/regolaDetail";"toolbar/insert";"Salva regola"
"SACER";"/amministrazione/regolaDetail";"toolbar/update";"Salva modifica regola"
