"APPLIC";"NM_ENTRY_MENU";"DS_ENTRY_MENU";"NI_LIVELLO_ENTRY_MENU";"NI_ORD_ENTRY_MENU";"NM_ENTRY_MENU_PADRE";"DL_LINK_ENTRY_MENU"
"SACER";"Menu";"Menu principale";1;1;"";""
"SACER";"Menu.Amministrazione";"Amministrazione sistema";2;6;"Menu";""
"SACER";"Menu.Amministrazione.Ambienti";"Gestione ambienti";3;6;"Menu.Amministrazione";"Ambiente.html?operation=ricercaAmbiente&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.ConsistenzaSacer";"Esame consistenza Sacer";3;12;"Menu.Amministrazione";"Monitoraggio.html?operation=consistenzaSacer&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.GestioneAmbitoTerritoriale";"Gestione ambito territoriale";3;7;"Menu.Amministrazione";"Strutture.html?operation=gestioneAmbitoTerritoriale&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.GestioneCategorieEnti";"Gestione categorie enti";3;10;"Menu.Amministrazione";"Strutture.html?operation=ricercaCategorieEnti&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.GestioneCategorieStrutture";"Gestione categorie strutture";3;9;"Menu.Amministrazione";"Strutture.html?operation=ricercaCategorieStrutture&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.GestioneCategorieTipoUd";"Gestione categorie tipo unità documentaria";3;8;"Menu.Amministrazione";"Strutture.html?operation=gestioneCategorieTipoUd&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.GestioneFormatiFileStandard";"Gestione registro dei formati";3;5;"Menu.Amministrazione";"Formati.html?operation=ricercaFormatoFileStandard&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.GestioneJob";"Gestione job legacy";3;3;"Menu.Amministrazione";"GestioneJob.html?operation=initOnClick&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.GestioneJobRicerca";"Gestione job";3;2;"Menu.Amministrazione";"GestioneJob.html?operation=gestioneJobRicercaPage&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.GestioneSistemiMigrazione";"Gestione sistemi di migrazione";3;11;"Menu.Amministrazione";"Amministrazione.html?operation=loadListaSistemiMigrazione&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.ListaConfigurazioni";"Gestione parametri";3;1;"Menu.Amministrazione";"Amministrazione.html?operation=loadListaConfigurazioni&amp;cleanhistory=true"
"SACER";"Menu.Amministrazione.LivelliLogger";"Gestione livelli logger";3;4;"Menu.Amministrazione";"Amministrazione.html?operation=loadLoggerLevels&amp;cleanhistory=true"
