"APPLIC";"NM_PAGINA_WEB";"DS_PAGINA_WEB";"TI_HELP_ON_LINE";"ENTRY_MENU"
"SACER";"/aggiornamentiMetadatiUDDetail";"Dettaglio aggiornamento";"HELP_PAGINA";"Menu principale - Unità documentarie - Ricerca unità documentarie"
"SACER";"/amministrazione/campoRegolaDetail";"Sottostrutture - Dettaglio campo";"HELP_PAGINA";"Menu principale - Strutture versanti - Gestione strutture"
"SACER";"/amministrazione/dettaglioSisMigr";"Dettaglio sistemi di migrazione";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione sistemi di migrazione"
"SACER";"/amministrazione/estensioneFileDetail";"Dettaglio Estensione File";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione registro dei formati"
"SACER";"/amministrazione/formatoFileBustaDetail";"Dettaglio Formato File Busta";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione registro dei formati"
"SACER";"/amministrazione/formatoFileStandardDetail";"Dettaglio Formato";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione registro dei formati"
"SACER";"/amministrazione/formatoFileStandardRicerca";"Registro dei formati";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione registro dei formati"
"SACER";"/amministrazione/regolaDetail";"Sottostrutture - Dettaglio regola substruttura";"HELP_PAGINA";"Menu principale - Strutture versanti - Gestione strutture"
"SACER";"/amministrazione/ricercaSisMigr";"Ricerca sistemi di migrazione";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione sistemi di migrazione"
"SACER";"/amministrazione/subStrutDetail";"Sottostrutture - Dettaglio sottostruttura";"HELP_PAGINA";"Menu principale - Strutture versanti - Gestione strutture"
"SACER";"/amministrazione/valutazioneFileDetail";"Dettaglio Valutazione File";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione registro dei formati"
"SACER";"/amministrazioneConfigList";"Gestione parametri";"HELP_PAGINA";"Menu principale - Amministrazione sistema - Gestione parametri"
"SACER";"/annulVers/cambioStatoRichAnnulVers";"Cambio stato richiesta di annullamento versamenti";"HELP_PAGINA";"Menu principale - Annullamento versamenti - Gestione richieste unità documentarie"
"SACER";"/annulVers/creazioneRichAnnulVers";"Creazione richiesta di annullamento versamenti";"HELP_PAGINA";"Menu principale - Annullamento versamenti - Gestione richieste unità documentarie"
"SACER";"/annulVers/ricercaRichAnnulVers";"Gestione richieste di annullamento versamento";"HELP_PAGINA";"Menu principale - Annullamento versamenti - Gestione richieste unità documentarie"
"SACER";"/annulVers/richAnnulVersDetail";"Dettaglio richiesta di annullamento versamenti";"HELP_PAGINA";"Menu principale - Annullamento versamenti - Gestione richieste unità documentarie"
